,1,2,3,4,5,6,7,8,9,10,11,12
V140,37.64891989,1.377096778,20.82104468,8.892409356,3.871856568,22.59140482,3.481292624,8.899497991,5.77253578,5.940591791,3.012755347,26.7100008
V141,59.64246417,38.50055673,30.68025526,12.03576674,62.53831348,14.44105572,11.08690062,33.33946343,11.24719261,21.37175241,11.42084199,15.65444889
V142,20.68665792,2.963713857,3.381874391,5.163961008,18.68861957,31.84027226,4.549696275,231.0992192,42.43485907,48.68895746,57.91116321,4.249940444
V143,5.125688912,99.13423102,15.21701233,112.6356745,7.137049812,9.841391008,12.39888997,4.32917323,3.566008945,2.15605855,16.47250588,20.27865744
V144,22.88593638,4.775480453,19.56679106,18.59283441,4.588645203,13.6239313,12.21063124,18.85769268,12.10575915,3.843133255,34.27775239,8.942428786
V145,2.18631153,1.484596881,13.19296088,1.665615742,2.43733602,13.37588935,8.394639113,2.965132936,7.049356402,19.24657279,11.03649536,8.490235304
V146,6.800581723,4.092505263,14.25134117,4.809821578,12.6964385,13.83565458,4.961237714,38.15976945,3.534401602,4.786125387,11.32572451,16.28039248
V147,427.2842253,107.8463404,27.82446838,35.17551654,41.54333787,1.768381811,6.160925232,41.41866109,229.2603514,11.39885875,170.173241,57.99314389
V148,3.742571486,1.184271081,19.1838101,3.601153796,8.167809047,7.261961952,27.08201289,7.646251881,14.67258356,6.317192872,24.06264671,25.64962657
V149,13.44901013,38.95456485,22.35152668,91.37935775,6.970366701,19.90087736,17.58581292,2.182261045,3.290128189,6.380180105,6.106326071,2.485025214
V150,23.6458189,27.52914541,32.54239316,14.44373946,15.78578344,27.49890007,10.06809905,16.5127974,9.654146353,9.244707263,8.203831757,5.115750021
V151,34.06241682,27.96490022,22.88327823,6.880523712,53.83334566,24.66430738,65.00914051,52.86464394,15.29604445,8.312348831,4.613136205,24.48188846
V152,2.233753158,0.575614181,9.508502607,3.491600332,8.024386887,10.89841362,4.478331842,16.49523126,1.66127938,8.936338653,15.41214321,4.169261732
V153,155.2428261,9.729523229,17.02640148,8.47813831,3.5596966,10.00789454,2.087652543,24.77285567,31.60973208,46.88415943,38.16678732,31.55217518
V154,13.58957102,2.021640764,20.31960411,2.794275611,3.713553761,8.153964207,3.518522604,5.843055752,3.483733962,2.412807767,8.445389452,5.798431251
V155,1.607222167,2.825372777,14.22764563,2.441388276,3.002573063,6.633134834,5.19748173,6.091435526,9.19197931,13.05681966,13.50852119,3.294035849
V156,72.70688447,282.9302321,25.30457084,134.9953388,116.3232885,25.07003276,9.702726213,43.48116454,3.532767909,61.39588609,10.76579552,77.13437766
V157,38.8402752,11.07874429,17.77262086,8.635818917,5.693385817,13.17881995,7.332120962,13.66721305,29.75302627,3.499732791,3.957435087,7.179697462
V158,10.83965627,1.387409505,11.76114659,0.537132517,14.11202154,22.16270234,4.419987572,23.91501901,6.196121207,15.458638,15.18595283,11.84408107
V159,5.93473091,3.338133438,19.40647503,18.84061946,15.89879183,24.98936368,19.50105252,117.8433629,3.518648561,54.20214522,81.87195707,4.749404338
V160,5.170259966,2.109452908,11.67465395,2.456650954,5.648052135,13.47134912,3.084904365,12.3781618,3.918106748,24.40808363,16.14933036,11.11093309
V161,7.790996212,3.368338415,9.924883168,5.261282915,3.33407112,19.6792694,5.641535038,45.37809168,6.93494738,12.99917412,20.80694766,5.960063578
V162,2.626321153,117.0358835,17.71944553,123.6425756,6.710443402,21.66363444,3.905400589,9.739225473,3.504323507,8.268153888,18.76294827,3.836361553
V163,8.393068946,1.510093819,13.49333917,1.029497262,12.76534425,11.77878762,3.362225727,2.879766579,5.147265486,7.701702148,5.955221465,4.717550627
V164,6.931659651,32.10976847,22.72724912,23.07130557,3.244683539,13.29333205,14.3340864,3.423623542,9.416464449,24.63208913,22.94227643,6.085954664
V165,46.12015438,7.968806021,18.19612384,8.044232208,11.13803054,31.16444081,6.764494588,22.19159877,11.07506509,2.71550302,15.53430358,2.85978328
V166,1.324274073,3.632996446,13.82548453,6.923730849,12.1015155,17.13837706,5.968310048,6.770105735,12.59803427,2.970005448,2.690232271,4.261559771
V167,0.690194292,1.834810558,15.9392959,2.835788799,1.835721478,14.02216706,4.970842266,8.033070327,12.14971906,9.98166157,10.03759848,4.98912273
V168,49.20951843,5.833559325,22.63738931,5.663750623,14.47610397,36.99729203,1.605774643,12.05943354,6.297314294,3.673095382,4.19451346,3.430547233
